FatalityId,Crash ID,Speed Limit,Number Fatalities,DateID,GeoID,FatalityId_right,CrashID,RoadId,VehicleId,TimeID,HolidayID
Fatality28,20187034,110,1,Date1195,Geo303,Fatalities37,Crash1,Road44,Vehicle6,Time1036,Holiday3
Fatality29,20236013,100,1,Date2515,Geo532,Fatalities66,Crash1,Road47,Vehicle6,Time677,Holiday3
Fatality30,20193089,100,1,Date389,Geo206,Fatalities150,Crash2,Road44,Vehicle6,Time1101,Holiday3
Fatality31,20222017,70,1,Date3556,Geo138,Fatalities36,Crash2,Road25,Vehicle6,Time1083,Holiday3
Fatality32,20181039,60,1,Date3697,Geo130,Fatalities87,Crash2,Road13,Vehicle6,Time1110,Holiday2
Fatality33,20151120,90,1,Date3575,Geo703,Fatalities28,Crash2,Road47,Vehicle4,Time421,Holiday3
Fatality34,20244011,110,3,Date2819,Geo393,Fatalities163,Crash2,Road47,Vehicle4,Time64,Holiday3
Fatality35,20224008,100,1,Date1658,Geo386,Fatalities53,Crash1,Road42,Vehicle6,Time941,Holiday3
Fatality36,20211254,100,1,Date3465,Geo196,Fatalities37,Crash2,Road22,Vehicle6,Time922,Holiday3
Fatality37,20193021,80,1,Date389,Geo499,Fatalities186,Crash1,Road47,Vehicle4,Time493,Holiday3
Fatality38,20143068,100,1,Date1446,Geo479,Fatalities10,Crash1,Road16,Vehicle5,Time854,Holiday3
Fatality39,20183151,50,1,Date2518,Geo566,Fatalities73,Crash2,Road45,Vehicle6,Time1406,Holiday3
Fatality40,20226011,80,1,Date2747,Geo248,Fatalities124,Crash1,Road50,Vehicle6,Time1342,Holiday3
Fatality41,20202027,60,1,Date3606,Geo389,Fatalities102,Crash1,Road9,Vehicle6,Time200,Holiday3
Fatality42,20173145,70,2,Date3411,Geo57,Fatalities38,Crash2,Road3,Vehicle6,Time1101,Holiday2
Fatality43,20211029,60,2,Date3805,Geo309,Fatalities54,Crash1,Road44,Vehicle7,Time555,Holiday3
Fatality44,20181308,100,1,Date602,Geo16,Fatalities196,Crash1,Road61,Vehicle6,Time1135,Holiday3
Fatality45,20171303,40,1,Date3104,Geo719,Fatalities120,Crash2,Road49,Vehicle6,Time285,Holiday3
Fatality46,20155061,50,1,Date1557,Geo738,Fatalities181,Crash1,Road36,Vehicle6,Time683,Holiday3
Fatality47,20183189,100,1,Date162,Geo206,Fatalities4,Crash1,Road9,Vehicle6,Time1101,Holiday3
Fatality48,20161019,60,1,Date69,Geo398,Fatalities5,Crash2,Road36,Vehicle6,Time1392,Holiday3
Fatality49,20213153,60,1,Date2991,Geo788,Fatalities2,Crash1,Road22,Vehicle6,Time1041,Holiday3
Fatality50,20164071,50,1,Date3607,Geo585,Fatalities125,Crash1,Road35,Vehicle5,Time683,Holiday3
Fatality51,20241175,50,1,Date2516,Geo796,Fatalities181,Crash2,Road42,Vehicle6,Time1092,Holiday3
Fatality52,20185131,60,1,Date2937,Geo11,Fatalities37,Crash1,Road61,Vehicle6,Time175,Holiday3
Fatality53,20232176,80,1,Date590,Geo240,Fatalities137,Crash1,Road22,Vehicle6,Time875,Holiday3
Fatality54,20184071,100,1,Date463,Geo386,Fatalities124,Crash1,Road44,Vehicle6,Time537,Holiday3
Fatality55,20203086,100,2,Date2256,Geo621,Fatalities178,Crash2,Road47,Vehicle4,Time1094,Holiday3
Fatality56,20147016,130,1,Date1069,Geo80,Fatalities119,Crash1,Road56,Vehicle6,Time1078,Holiday3
Fatality57,20156020,50,1,Date1166,Geo284,Fatalities180,Crash2,Road39,Vehicle6,Time886,Holiday3
Fatality58,20181022,100,1,Date2941,Geo114,Fatalities4,Crash1,Road44,Vehicle6,Time1294,Holiday3
Fatality59,20173143,110,1,Date602,Geo257,Fatalities45,Crash1,Road47,Vehicle6,Time1415,Holiday3
Fatality60,20191231,60,1,Date2304,Geo17,Fatalities114,Crash2,Road31,Vehicle6,Time984,Holiday3
Fatality61,20221122,110,1,Date482,Geo63,Fatalities185,Crash2,Road22,Vehicle6,Time1238,Holiday3
Fatality62,20182143,50,1,Date3123,Geo687,Fatalities106,Crash2,Road1,Vehicle6,Time1376,Holiday3
Fatality63,20163113,70,1,Date1701,Geo479,Fatalities23,Crash2,Road56,Vehicle7,Time1415,Holiday3
Fatality64,20141005,50,1,Date1402,Geo639,Fatalities165,Crash1,Road56,Vehicle6,Time175,Holiday3
Fatality65,20172126,50,1,Date2813,Geo20,Fatalities57,Crash2,Road33,Vehicle7,Time958,Holiday3
Fatality66,20181283,70,1,Date3772,Geo13,Fatalities119,Crash1,Road35,Vehicle6,Time845,Holiday3
Fatality67,20182168,100,1,Date781,Geo687,Fatalities154,Crash1,Road50,Vehicle6,Time1517,Holiday3
Fatality68,20242170,60,1,Date2239,Geo417,Fatalities157,Crash2,Road43,Vehicle7,Time1167,Holiday3
Fatality69,20201033,100,1,Date2198,Geo168,Fatalities128,Crash1,Road45,Vehicle6,Time493,Holiday3
Fatality70,20201010,60,1,Date2659,Geo252,Fatalities155,Crash1,Road61,Vehicle6,Time1280,Holiday3
Fatality71,20163021,100,1,Date1833,Geo479,Fatalities150,Crash1,Road56,Vehicle6,Time988,Holiday3
Fatality72,20232132,100,1,Date103,Geo712,Fatalities179,Crash2,Road40,Vehicle6,Time884,Holiday3
Fatality73,20183127,100,1,Date3174,Geo23,Fatalities36,Crash2,Road22,Vehicle4,Time1322,Holiday3
Fatality74,20212059,100,1,Date3367,Geo308,Fatalities100,Crash2,Road43,Vehicle6,Time1034,Holiday3
Fatality75,20161171,60,1,Date392,Geo196,Fatalities171,Crash2,Road31,Vehicle6,Time366,Holiday3
Fatality76,20205078,110,1,Date1637,Geo653,Fatalities118,Crash1,Road43,Vehicle6,Time1333,Holiday3
Fatality77,20162246,50,1,Date3567,Geo573,Fatalities141,Crash1,Road56,Vehicle6,Time167,Holiday3
Fatality78,20232035,60,1,Date180,Geo317,Fatalities55,Crash1,Road39,Vehicle6,Time1213,Holiday3
Fatality79,20184058,110,1,Date432,Geo393,Fatalities54,Crash1,Road47,Vehicle6,Time1101,Holiday3
Fatality80,20241200,60,1,Date1265,Geo332,Fatalities73,Crash1,Road7,Vehicle6,Time353,Holiday3
Fatality81,20215041,110,1,Date1275,Geo419,Fatalities80,Crash1,Road47,Vehicle6,Time686,Holiday3
Fatality82,20222027,60,1,Date2222,Geo529,Fatalities103,Crash2,Road44,Vehicle6,Time364,Holiday3
Fatality83,20171136,100,2,Date2794,Geo637,Fatalities2,Crash2,Road43,Vehicle3,Time308,Holiday2
Fatality84,20154042,110,1,Date874,Geo31,Fatalities11,Crash1,Road25,Vehicle6,Time1320,Holiday3
Fatality85,20234059,50,1,Date2058,Geo184,Fatalities141,Crash2,Road41,Vehicle6,Time722,Holiday3
Fatality86,20243017,100,2,Date481,Geo403,Fatalities187,Crash2,Road57,Vehicle4,Time988,Holiday3
Fatality87,20233210,60,2,Date3478,Geo296,Fatalities21,Crash1,Road50,Vehicle6,Time58,Holiday3
Fatality88,20234088,60,1,Date225,Geo540,Fatalities129,Crash1,Road61,Vehicle6,Time141,Holiday3
Fatality89,20205054,110,1,Date1610,Geo272,Fatalities92,Crash1,Road57,Vehicle6,Time803,Holiday3
Fatality90,20144084,80,1,Date851,Geo787,Fatalities150,Crash2,Road44,Vehicle6,Time837,Holiday2
Fatality91,20148006,80,1,Date1374,Geo64,Fatalities61,Crash2,Road16,Vehicle6,Time1281,Holiday3
Fatality92,20202110,100,2,Date471,Geo606,Fatalities123,Crash2,Road43,Vehicle6,Time958,Holiday3
Fatality93,20171121,60,3,Date2419,Geo399,Fatalities155,Crash2,Road31,Vehicle6,Time992,Holiday3
Fatality94,20161300,60,1,Date2558,Geo52,Fatalities122,Crash1,Road35,Vehicle5,Time7,Holiday3
Fatality95,20211109,60,1,Date3813,Geo116,Fatalities114,Crash1,Road50,Vehicle6,Time1024,Holiday3
Fatality96,20231274,100,1,Date366,Geo560,Fatalities179,Crash2,Road43,Vehicle7,Time673,Holiday3
Fatality97,20143101,100,3,Date704,Geo479,Fatalities112,Crash2,Road16,Vehicle4,Time1526,Holiday3
Fatality98,20203057,90,1,Date1103,Geo492,Fatalities9,Crash2,Road47,Vehicle6,Time393,Holiday3
Fatality99,20223148,60,1,Date2339,Geo758,Fatalities64,Crash2,Road47,Vehicle7,Time175,Holiday3
Fatality100,20164029,50,1,Date202,Geo634,Fatalities43,Crash2,Road41,Vehicle6,Time1002,Holiday3
Fatality101,20173218,100,1,Date2419,Geo296,Fatalities151,Crash2,Road9,Vehicle6,Time1047,Holiday3
Fatality102,20211017,100,1,Date1017,Geo46,Fatalities169,Crash1,Road31,Vehicle6,Time257,Holiday3
Fatality103,20241199,80,2,Date919,Geo90,Fatalities128,Crash1,Road31,Vehicle6,Time1399,Holiday3
Fatality104,20222105,100,1,Date560,Geo339,Fatalities37,Crash1,Road42,Vehicle6,Time493,Holiday3
Fatality105,20201089,100,1,Date1371,Geo489,Fatalities124,Crash1,Road44,Vehicle6,Time846,Holiday3
Fatality106,20177009,110,1,Date2384,Geo102,Fatalities106,Crash1,Road45,Vehicle6,Time421,Holiday3
Fatality107,20202091,60,1,Date471,Geo222,Fatalities173,Crash1,Road41,Vehicle6,Time1038,Holiday3
Fatality108,20208004,80,2,Date87,Geo123,Fatalities181,Crash2,Road43,Vehicle6,Time12,Holiday3
Fatality109,20162108,100,1,Date2891,Geo589,Fatalities124,Crash1,Road56,Vehicle6,Time83,Holiday3
Fatality110,20221100,80,1,Date2164,Geo775,Fatalities56,Crash1,Road43,Vehicle6,Time393,Holiday3
Fatality111,20182163,60,1,Date3494,Geo66,Fatalities21,Crash1,Road9,Vehicle6,Time425,Holiday3
Fatality112,20161075,100,2,Date1833,Geo595,Fatalities119,Crash1,Road47,Vehicle6,Time478,Holiday3
Fatality113,20221036,100,1,Date2437,Geo460,Fatalities147,Crash1,Road44,Vehicle6,Time619,Holiday3
Fatality114,20231006,100,1,Date103,Geo643,Fatalities144,Crash1,Road45,Vehicle6,Time1040,Holiday3
Fatality115,20153093,110,1,Date3421,Geo479,Fatalities69,Crash1,Road56,Vehicle6,Time1265,Holiday3
Fatality116,20184001,100,1,Date1477,Geo199,Fatalities182,Crash2,Road43,Vehicle6,Time20,Holiday3
Fatality117,20147010,60,1,Date663,Geo80,Fatalities21,Crash2,Road58,Vehicle6,Time637,Holiday3
Fatality118,20243052,60,1,Date245,Geo346,Fatalities36,Crash2,Road36,Vehicle6,Time1415,Holiday3
Fatality119,20213048,60,1,Date1036,Geo777,Fatalities106,Crash2,Road41,Vehicle6,Time792,Holiday3
Fatality120,20153076,110,1,Date567,Geo479,Fatalities155,Crash1,Road56,Vehicle6,Time393,Holiday3
Fatality121,20201211,80,1,Date152,Geo476,Fatalities87,Crash1,Road44,Vehicle6,Time184,Holiday3
Fatality122,20221004,100,1,Date229,Geo739,Fatalities129,Crash2,Road40,Vehicle6,Time1463,Holiday3
Fatality123,20151114,60,1,Date1788,Geo623,Fatalities61,Crash1,Road25,Vehicle6,Time1249,Holiday3
Fatality124,20241115,100,1,Date997,Geo309,Fatalities95,Crash1,Road43,Vehicle6,Time488,Holiday2
Fatality125,20242218,100,1,Date245,Geo342,Fatalities41,Crash2,Road57,Vehicle6,Time1409,Holiday2
Fatality126,20242200,100,1,Date3082,Geo402,Fatalities181,Crash2,Road44,Vehicle7,Time1036,Holiday3
Fatality127,20153028,100,1,Date3740,Geo479,Fatalities95,Crash2,Road56,Vehicle7,Time206,Holiday3
Fatality128,20215088,110,1,Date3181,Geo92,Fatalities124,Crash1,Road47,Vehicle6,Time727,Holiday3
Fatality129,20162130,100,1,Date1718,Geo342,Fatalities62,Crash2,Road56,Vehicle4,Time590,Holiday3
Fatality130,20202045,80,1,Date2697,Geo428,Fatalities129,Crash1,Road47,Vehicle6,Time1072,Holiday3
Fatality131,20232032,100,5,Date3186,Geo366,Fatalities85,Crash2,Road57,Vehicle4,Time1029,Holiday3
Fatality132,20215075,50,1,Date3251,Geo704,Fatalities192,Crash1,Road16,Vehicle6,Time890,Holiday3
Fatality133,20222186,60,1,Date1561,Geo650,Fatalities116,Crash1,Road35,Vehicle6,Time173,Holiday3
Fatality134,20193128,60,2,Date1407,Geo593,Fatalities101,Crash1,Road29,Vehicle6,Time1333,Holiday3
Fatality135,20217016,100,1,Date429,Geo102,Fatalities137,Crash1,Road44,Vehicle6,Time58,Holiday3
Fatality136,20223088,80,1,Date2164,Geo346,Fatalities36,Crash1,Road35,Vehicle6,Time1094,Holiday3
Fatality137,20152020,80,1,Date2089,Geo712,Fatalities139,Crash2,Road9,Vehicle6,Time674,Holiday3
Fatality138,20231102,100,2,Date381,Geo15,Fatalities181,Crash1,Road44,Vehicle6,Time770,Holiday3
Fatality139,20224065,60,1,Date2369,Geo784,Fatalities187,Crash1,Road61,Vehicle6,Time1499,Holiday3
Fatality140,20211001,100,1,Date2295,Geo674,Fatalities2,Crash1,Road43,Vehicle4,Time812,Holiday3
Fatality141,20194080,80,1,Date3732,Geo698,Fatalities133,Crash1,Road44,Vehicle6,Time456,Holiday3
Fatality142,20144025,60,1,Date566,Geo511,Fatalities189,Crash2,Road25,Vehicle5,Time465,Holiday3
Fatality143,20181152,100,1,Date1019,Geo440,Fatalities27,Crash1,Road43,Vehicle6,Time688,Holiday3
Fatality144,20171066,80,1,Date901,Geo590,Fatalities170,Crash2,Road44,Vehicle6,Time496,Holiday3
Fatality145,20164061,50,1,Date2114,Geo634,Fatalities7,Crash1,Road45,Vehicle6,Time1263,Holiday3
Fatality146,20226044,110,2,Date1127,Geo248,Fatalities105,Crash2,Road47,Vehicle7,Time1339,Holiday3
Fatality147,20232076,60,1,Date68,Geo366,Fatalities54,Crash1,Road47,Vehicle6,Time681,Holiday3
Fatality148,20213131,60,1,Date118,Geo437,Fatalities37,Crash1,Road39,Vehicle6,Time1322,Holiday2
Fatality149,20211211,80,1,Date118,Geo609,Fatalities4,Crash1,Road9,Vehicle6,Time683,Holiday3
Fatality150,20203003,80,1,Date3267,Geo492,Fatalities151,Crash2,Road20,Vehicle6,Time854,Holiday3
Fatality151,20172106,100,1,Date333,Geo261,Fatalities79,Crash2,Road42,Vehicle6,Time652,Holiday3
Fatality152,20163205,60,1,Date1701,Geo479,Fatalities43,Crash1,Road2,Vehicle6,Time1265,Holiday3
Fatality153,20172027,50,1,Date676,Geo88,Fatalities181,Crash1,Road42,Vehicle6,Time1322,Holiday3
Fatality154,20244026,50,1,Date2385,Geo393,Fatalities202,Crash1,Road39,Vehicle6,Time810,Holiday3
Fatality155,20193064,110,1,Date2141,Geo593,Fatalities40,Crash2,Road9,Vehicle6,Time247,Holiday3
Fatality156,20201204,100,1,Date1029,Geo679,Fatalities196,Crash1,Road36,Vehicle6,Time57,Holiday3
Fatality157,20164073,80,3,Date1651,Geo184,Fatalities174,Crash2,Road42,Vehicle6,Time1334,Holiday3
Fatality158,20244035,100,1,Date844,Geo441,Fatalities100,Crash1,Road43,Vehicle6,Time142,Holiday3
Fatality159,20171207,80,1,Date3790,Geo6,Fatalities62,Crash2,Road9,Vehicle6,Time1248,Holiday3
Fatality160,20194025,110,1,Date1503,Geo1,Fatalities137,Crash1,Road47,Vehicle7,Time1288,Holiday3
Fatality161,20194075,60,1,Date3007,Geo698,Fatalities131,Crash1,Road44,Vehicle6,Time1287,Holiday3
Fatality162,20226024,110,1,Date1561,Geo735,Fatalities184,Crash1,Road7,Vehicle6,Time1313,Holiday3
Fatality163,20221200,100,2,Date2731,Geo401,Fatalities26,Crash2,Road57,Vehicle6,Time922,Holiday3
Fatality164,20161169,90,1,Date854,Geo703,Fatalities54,Crash2,Road47,Vehicle4,Time894,Holiday3
Fatality165,20183124,60,1,Date1468,Geo777,Fatalities20,Crash2,Road57,Vehicle6,Time1102,Holiday3
Fatality166,20152023,100,1,Date3115,Geo342,Fatalities105,Crash1,Road3,Vehicle6,Time1147,Holiday2
Fatality167,20243042,60,1,Date3143,Geo424,Fatalities21,Crash2,Road36,Vehicle6,Time1415,Holiday3
Fatality168,20161140,100,2,Date3580,Geo148,Fatalities60,Crash2,Road43,Vehicle4,Time1157,Holiday3
Fatality169,20144034,110,1,Date1754,Geo344,Fatalities137,Crash2,Road33,Vehicle6,Time1160,Holiday3
Fatality170,20172090,80,1,Date2798,Geo567,Fatalities131,Crash2,Road31,Vehicle6,Time1374,Holiday3
Fatality171,20143104,60,1,Date3042,Geo479,Fatalities37,Crash2,Road58,Vehicle6,Time493,Holiday3
Fatality172,20157016,130,1,Date1742,Geo303,Fatalities128,Crash1,Road7,Vehicle6,Time150,Holiday3
Fatality173,20145006,110,1,Date663,Geo498,Fatalities176,Crash2,Road22,Vehicle6,Time1522,Holiday3
Fatality174,20173071,100,1,Date506,Geo483,Fatalities17,Crash1,Road44,Vehicle6,Time1406,Holiday3
Fatality175,20233016,60,1,Date2053,Geo777,Fatalities152,Crash2,Road50,Vehicle6,Time1265,Holiday3
Fatality176,20161243,90,1,Date1437,Geo17,Fatalities105,Crash2,Road61,Vehicle6,Time1375,Holiday3
Fatality177,20143080,80,2,Date26,Geo479,Fatalities131,Crash2,Road56,Vehicle4,Time1041,Holiday3
Fatality178,20205044,110,1,Date873,Geo704,Fatalities16,Crash1,Road16,Vehicle6,Time206,Holiday3
Fatality179,20234094,60,1,Date366,Geo343,Fatalities113,Crash1,Road35,Vehicle6,Time958,Holiday3
Fatality180,20191165,80,1,Date3037,Geo775,Fatalities193,Crash2,Road43,Vehicle7,Time176,Holiday3
Fatality181,20223134,80,1,Date2164,Geo671,Fatalities163,Crash1,Road45,Vehicle6,Time1101,Holiday3
Fatality182,20212067,100,2,Date3251,Geo752,Fatalities186,Crash2,Road9,Vehicle6,Time515,Holiday3
Fatality183,20171324,80,1,Date901,Geo623,Fatalities95,Crash2,Road31,Vehicle6,Time1275,Holiday3
Fatality184,20181242,60,1,Date226,Geo439,Fatalities60,Crash1,Road49,Vehicle6,Time429,Holiday2
Fatality185,20152007,100,1,Date3616,Geo317,Fatalities17,Crash2,Road47,Vehicle7,Time1256,Holiday3
Fatality186,20212135,40,1,Date3251,Geo240,Fatalities43,Crash2,Road35,Vehicle6,Time227,Holiday3
Fatality187,20182134,100,1,Date1477,Geo306,Fatalities179,Crash1,Road43,Vehicle6,Time459,Holiday3
Fatality188,20181014,100,1,Date1911,Geo448,Fatalities129,Crash2,Road43,Vehicle6,Time32,Holiday3
Fatality189,20222078,100,1,Date229,Geo160,Fatalities137,Crash1,Road27,Vehicle6,Time846,Holiday3
Fatality190,20213069,100,1,Date710,Geo104,Fatalities131,Crash1,Road47,Vehicle6,Time1265,Holiday3
Fatality191,20201165,80,1,Date841,Geo234,Fatalities5,Crash2,Road22,Vehicle6,Time72,Holiday3
Fatality192,20202002,80,1,Date1696,Geo484,Fatalities204,Crash2,Road47,Vehicle7,Time329,Holiday3
Fatality193,20141058,100,1,Date2679,Geo639,Fatalities2,Crash1,Road58,Vehicle6,Time854,Holiday3
Fatality194,20191041,110,2,Date2304,Geo440,Fatalities40,Crash2,Road47,Vehicle6,Time754,Holiday3
Fatality195,20163044,80,1,Date1439,Geo479,Fatalities23,Crash2,Road58,Vehicle7,Time456,Holiday3
Fatality196,20166030,80,1,Date1220,Geo185,Fatalities72,Crash1,Road36,Vehicle6,Time54,Holiday3
Fatality197,20175050,20,1,Date2372,Geo704,Fatalities115,Crash1,Road2,Vehicle5,Time54,Holiday3
Fatality198,20202095,50,1,Date1610,Geo73,Fatalities194,Crash1,Road45,Vehicle6,Time1200,Holiday3
Fatality199,20241280,100,1,Date1740,Geo114,Fatalities116,Crash2,Road47,Vehicle4,Time413,Holiday3
Fatality200,20191051,100,1,Date3401,Geo565,Fatalities179,Crash1,Road47,Vehicle6,Time792,Holiday3
Fatality201,20173207,60,1,Date3577,Geo426,Fatalities86,Crash1,Road9,Vehicle6,Time175,Holiday3
Fatality202,20211138,80,1,Date2189,Geo435,Fatalities122,Crash1,Road47,Vehicle6,Time491,Holiday3
Fatality203,20201189,60,1,Date1103,Geo242,Fatalities105,Crash1,Road31,Vehicle6,Time370,Holiday3
Fatality204,20171065,100,1,Date2813,Geo580,Fatalities68,Crash1,Road44,Vehicle6,Time922,Holiday3
Fatality205,20182073,60,1,Date3762,Geo383,Fatalities131,Crash1,Road49,Vehicle6,Time1151,Holiday3
Fatality206,20193196,100,2,Date2208,Geo509,Fatalities173,Crash1,Road45,Vehicle6,Time206,Holiday3
Fatality207,20226001,100,1,Date3556,Geo549,Fatalities47,Crash1,Road42,Vehicle6,Time1036,Holiday3
Fatality208,20193160,100,1,Date520,Geo377,Fatalities177,Crash1,Road57,Vehicle6,Time854,Holiday3
Fatality209,20212065,100,1,Date929,Geo48,Fatalities113,Crash2,Road41,Vehicle6,Time1415,Holiday1
Fatality210,20205118,100,1,Date2262,Geo273,Fatalities171,Crash2,Road45,Vehicle6,Time222,Holiday3
Fatality211,20153088,50,1,Date3722,Geo479,Fatalities141,Crash1,Road58,Vehicle6,Time1526,Holiday3
Fatality212,20174073,100,1,Date178,Geo677,Fatalities203,Crash1,Road43,Vehicle6,Time352,Holiday3
Fatality213,20151014,70,2,Date1258,Geo345,Fatalities61,Crash2,Road43,Vehicle7,Time1116,Holiday3
Fatality214,20163168,100,1,Date2962,Geo479,Fatalities141,Crash1,Road56,Vehicle6,Time456,Holiday3
Fatality215,20163190,100,1,Date2962,Geo479,Fatalities124,Crash1,Road56,Vehicle6,Time1526,Holiday3
Fatality216,20233242,60,1,Date2499,Geo424,Fatalities36,Crash2,Road41,Vehicle6,Time247,Holiday3
Fatality217,20152189,100,1,Date543,Geo616,Fatalities133,Crash2,Road43,Vehicle4,Time352,Holiday3
Fatality218,20202016,70,1,Date3674,Geo165,Fatalities52,Crash1,Road7,Vehicle6,Time568,Holiday3
Fatality219,20207025,130,1,Date1029,Geo291,Fatalities89,Crash1,Road57,Vehicle6,Time1254,Holiday3
Fatality220,20188008,60,1,Date1911,Geo123,Fatalities93,Crash1,Road41,Vehicle6,Time1308,Holiday3
Fatality221,20154023,60,1,Date217,Geo657,Fatalities133,Crash2,Road44,Vehicle6,Time456,Holiday3
Fatality222,20232162,60,1,Date2515,Geo220,Fatalities78,Crash1,Road35,Vehicle6,Time491,Holiday3
Fatality223,20154022,100,1,Date1166,Geo749,Fatalities100,Crash1,Road44,Vehicle6,Time457,Holiday3
Fatality224,20211079,110,2,Date1952,Geo440,Fatalities36,Crash1,Road47,Vehicle6,Time903,Holiday3
Fatality225,20154061,80,1,Date190,Geo787,Fatalities5,Crash2,Road9,Vehicle6,Time246,Holiday3
Fatality226,20151256,100,1,Date2411,Geo408,Fatalities137,Crash1,Road45,Vehicle6,Time1451,Holiday3
Fatality227,20154046,110,1,Date3486,Geo386,Fatalities43,Crash1,Road47,Vehicle6,Time1349,Holiday3
Fatality228,20193136,60,1,Date3037,Geo424,Fatalities5,Crash2,Road41,Vehicle6,Time792,Holiday3
Fatality229,20144087,100,1,Date2181,Geo677,Fatalities106,Crash1,Road45,Vehicle6,Time1238,Holiday3
Fatality230,20171218,60,1,Date1502,Geo97,Fatalities107,Crash1,Road39,Vehicle6,Time393,Holiday3
Fatality231,20221114,80,1,Date3780,Geo674,Fatalities77,Crash1,Road47,Vehicle6,Time566,Holiday3
Fatality232,20211004,110,1,Date3784,Geo435,Fatalities2,Crash2,Road22,Vehicle6,Time710,Holiday3
Fatality233,20178002,100,1,Date901,Geo508,Fatalities105,Crash1,Road42,Vehicle6,Time801,Holiday3
Fatality234,20232040,40,1,Date2591,Geo592,Fatalities58,Crash2,Road3,Vehicle6,Time1334,Holiday3
Fatality235,20174021,100,1,Date519,Geo199,Fatalities153,Crash1,Road31,Vehicle6,Time103,Holiday3
Fatality236,20145023,50,1,Date1707,Geo177,Fatalities53,Crash2,Road36,Vehicle6,Time1003,Holiday3
Fatality237,20181291,100,1,Date1911,Geo491,Fatalities134,Crash1,Road27,Vehicle6,Time1092,Holiday3
Fatality238,20195064,60,1,Date1236,Geo531,Fatalities203,Crash2,Road43,Vehicle6,Time184,Holiday3
Fatality239,20203106,60,1,Date1380,Geo378,Fatalities93,Crash2,Road41,Vehicle6,Time1406,Holiday3
Fatality240,20187014,110,1,Date692,Geo303,Fatalities36,Crash1,Road5,Vehicle6,Time792,Holiday3
Fatality241,20161285,50,3,Date1651,Geo210,Fatalities169,Crash1,Road50,Vehicle6,Time1364,Holiday3
Fatality242,20175067,60,1,Date2667,Geo419,Fatalities113,Crash2,Road22,Vehicle6,Time759,Holiday3
